source_page_id,target_page_id,source_publication,target_publication,source_date,target_date,time_lag_days,source_volume,source_number,target_volume,target_number,source_text_length,target_text_length,matched_text,match_length_words,match_length_chars,similarity_score,position_text1,position_text2
347,329,GoldFlower,DoItNow,1973-01-01,1973-09-01,243,1.0,11.0,,,214,247,"1973. archives of sexuality and gender,",6,39,0.7951070336391437,11,17
347,113,GoldFlower,BigMammaRag,1973-01-01,1973-11-01,304,1.0,11.0,1.0,5.0,214,199,"1973. archives of sexuality and gender,",6,39,0.7863777089783281,11,11
365,329,GoldFlower,DoItNow,1973-02-01,1973-09-01,212,1.0,12.0,,,214,247,"1973. archives of sexuality and gender,",6,39,0.8134556574923547,11,17
365,113,GoldFlower,BigMammaRag,1973-02-01,1973-11-01,273,1.0,12.0,1.0,5.0,214,199,"1973. archives of sexuality and gender,",6,39,0.7801857585139319,11,11
363,267,GoldFlower,DoItNow,1973-02-01,1973-12-01,303,1.0,12.0,,,3576,2789,with the equal employment opportunity commission,6,48,0.6700507614213198,88,80
86,307,BigMammaRag,DoItNow,1973-03-01,1973-11-01,245,1.0,3.0,,,7631,6545,to the family institution is repugnant to the idea of a woman adopting a,14,72,0.898876404494382,407,811
86,307,BigMammaRag,DoItNow,1973-03-01,1973-11-01,245,1.0,3.0,,,7631,6545,and independent career from that of her,7,39,0.8387096774193549,423,826
86,307,BigMammaRag,DoItNow,1973-03-01,1973-11-01,245,1.0,3.0,,,7631,6545,paramount destiny and mission of woman are to fulfill the,10,57,0.7817258883248731,483,838
398,329,GoldFlower,DoItNow,1973-06-01,1973-09-01,92,2.0,3.0,,,176,247,"1973. archives of sexuality and gender,",6,39,0.8200589970501475,5,17
398,113,GoldFlower,BigMammaRag,1973-06-01,1973-11-01,153,2.0,3.0,1.0,5.0,176,199,"1973. archives of sexuality and gender,",6,39,0.764179104477612,5,11
38,195,AintIAWoman,BigMammaRag,1973-06-22,1974-08-01,405,3.0,4.0,3.0,2.0,4374,13804,rape is an act of aggression in which the victim is denied her self-determination. it is an act of violence,20,107,0.7737704918032787,0,2219
38,195,AintIAWoman,BigMammaRag,1973-06-22,1974-08-01,405,3.0,4.0,3.0,2.0,4374,13804,"always carries with it the threat of death. and finally, rape is a form of mass terrorism, for the victims of rape are chosen indiscriminately, but",26,147,0.705607476635514,21,2249
38,195,AintIAWoman,BigMammaRag,1973-06-22,1974-08-01,405,3.0,4.0,3.0,2.0,4374,13804,women who cause rape by being,6,29,0.7160493827160493,55,2283
38,195,AintIAWoman,BigMammaRag,1973-06-22,1974-08-01,405,3.0,4.0,3.0,2.0,4374,13804,or in the wrong place at the wrong,8,34,0.91005291005291,62,2290
43,191,AintIAWoman,BigMammaRag,1973-07-20,1974-08-01,377,3.0,5.0,3.0,2.0,2991,8436,free to sisters in prison or,6,28,0.6857142857142857,315,1041
43,223,AintIAWoman,BigMammaRag,1973-07-20,1974-10-01,438,3.0,5.0,3.0,4.0,2991,8344,for a year sub (4 issues). start my sub with issue no.,12,54,0.7592592592592593,482,515
44,271,AintIAWoman,DoItNow,1973-07-20,1973-12-01,134,3.0,5.0,,,192,259,"1973, pp. [1]+. archives of sexuality and gender,",8,49,0.7941176470588235,8,17
44,301,AintIAWoman,DoItNow,1973-07-20,1974-01-01,165,3.0,5.0,,,192,256,"pp. [1]+. archives of sexuality and gender,",7,43,0.8398791540785498,9,18
